"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"179","Cv183","1",0,0,2,1,9,7,2,2,2,2,96.2857,12,10,45
"180","Cv184","5",0,0,3,2,9,7,2.16667,1.33333,2.33333,3,96,11,12,42
"181","Cv185","5",1,0,2,2,6,9,2.33333,1.33333,0.333333,0.833333,69.4286,19,9,35
"182","Cw186","3",1,0,2,0,8,6,0.333333,1,1,1,78.1429,11,10,20
"183","Cw187","4",0,0,3,1,9,6,0.333333,1.33333,0.666667,1.83333,82.2857,15,13,29
"184","Cw188","3",1,0,0,1,17,8,0.666667,1.33333,0,0.833333,91.8571,12,11,24
"185","Cw189","5",0,0,3,2,15,7,2.33333,2,2,2.33333,89,13,10,38
"186","Cw190a","4",0,0,2,3,12.8661874983521,6,1.5,1.19496468440121,1.90918148918032,2.16667,47.4286,20,16.0701018758723,35.0580761887282
"187","Cw191","5",1,0,3,0,7,7,0.166667,0,3,2.16667,90.4286,7,5.58643302558072,47.0122905651742
"188","Cw192","4",1,0,3,1,10,2,1.5,0.666667,3.66667,1.66667,40.4286,9,9,23
"189","Cw193","5",0,0,3,0,7,6,0,0,0,1,53.5714,28,24,16
"190","Cw194","1",0,0,2,0,6,3,0.333333,0,2.33333,1.83333,69.4286,9,7,31
"191","Cw195","1",0,0,4,1,13,11,0.333333,0.666667,1.33333,2.83333,89.1429,12,7,42
"192","Cw196","1",0,0,4,1,6,2,0.333333,0,3.33333,3.66667,75.1429,6,5,48
"193","Cw197","1",0,0,3,0,7,3,0.166667,0,3,2.83333,96.5714,8,5,46
"194","Cw198","3",1,0,2,1,10,3,0.833333,0.333333,0.333333,0.833333,89.8571,12,6,22
"195","Cw199","1",1,0,0,3,20,12,3.25,3.33333,0,0.5,44.5,16.5319890057105,17,29
"196","Cw200","5",1,0,4,0,8,6,0,0,2.66667,2.83333,98.5714,11,9,37
"197","Cw201","5",0,0,2,0,6,3,0.166667,0,1.66667,1.16667,81.2857,11,8,27
"198","Cw202","5",0,0,2,1,7,9,1,1,1.66667,1.83333,79.1429,8,6,40
"199","Cw203","5",1,0,3,0,6,11,0,0,1,1,31.4286,18,5,45
"200","Cw204","1",0,0,4,0,6,1,0.666667,0.666667,3,2.66667,97.4286,7,5,51
"201","Cw205","4",1,0,3,1,8,5,0.166667,0,2.33333,2.16667,100,5,6,37
"202","Cw206","5",1,0,1,0,5,2,0,0,0,0.333333,98.8571,5,5,23
"203","Cw207","1",0,0,1,2,5,9,0.666667,0,0,0.333333,27.5,5,5,12
"204","Cw208","3",1,0,3,1,7,2,0.333333,0.333333,2.66667,2,92.8571,5,7,17
"205","Cw209","3",0,0,4,0,15,8,2.16667,2.33333,3.33333,3.66667,99.8571,15,15,36
"206","Cw210","4",0,0,3,0,5,0,0,0,3,2.66667,100,5,5,52
"207","Cw211","5",1,0,2,1,10,10,0.666667,0.333333,0.666667,1.5,41.8571,14,7,35
"208","Cw212","1",0,0,3,0,15,9,0.166667,0,2,2,70.5714,18,6,24
"209","Cw213","3",1,0,3,0,11,5,0,0,3.33333,3.16667,96.7143,17,8,38
"210","Cw214","5",1,0,3,1,8,4,1.5,1,2.66667,2.16667,87.2857,12,11,35
"211","Cw215","3",0,0,3,0,21,9,0,0,2.66667,2.33333,82.7143,11,8,31
"212","Dx216","2",0,0,3,0,6,2,0.166667,0,2,2.16667,97.8571,9,5,34
"213","Dx217","5",1,0,4,0,7,7,0,0,4,4,100,5,6,52
"214","Dx218","5",1,0,4,0,8,4.27424699484123,0.2,0,3.66667,3,99.2857,10,7,43
"215","Dx219","3",1,0,3,0,7,2,0,0,3,3.16667,96,15,12,42
"216","Dx220","5",1,0,3,1,6,4,1,1,2.66667,3.33333,98.5714,7,7,53
"217","Dx221a","3",1,0,0,0,14,5,0.333333,0,0,2.5,99.2857,8,9.98575729877763,38.387905396048
"218","Dx222","4",0,0,3,1,5,1,0.166667,0,3.33333,3.5,73.5714,5,5,51
"219","Dx223","4",1,0,2,2,11.2642549873157,8,1.16667,1.01633712765912,2.6266328723499,2.83333,71.4286,13,12.2887988911274,43.4145542685086
"220","Dx224","4",0,0,3,1,10,3,1.5,0.333333,2,2.5,90.1429,12,7,39
"221","Dx225","4",1,0,3,0,9,8,0,0,3,2.83333,99.4286,8,5,49
"222","Dx226","1",0,0,4,0,7.41612871608385,5,0,-0.172181180761596,3.93308711881352,4,100,7.92665763609947,6.95982620044816,50.9389494828328
"223","Dx227","4",0,0,4,1,7.766018442852,4,0.166667,-0.0726781166006047,3.71876941760409,4,97.8571,7,6.90834069595878,51.6632784929917
"224","Dx228","4",1,0,2,1,17,14,1.66667,2.66667,1,1.83333,43.1429,10,11,42
"225","Dx229","4",0,0,2,2,11.312078101881,6,1.5,1.03709004870458,1.88205682923459,2,66.1762814169993,11.0037577167763,10.7572790927941,38.5709741408784
"226","Dx230","3",1,0,2,1,8,3,1,1,2,2,98.2857,9,7,46
"227","Dx231","5",1,0,2,1,8,6,0.166667,0,0,1.5,100,8,7,39
"228","Dx232","5",1,0,4,4,17,10,1,0,4,4,100,5,5,60
"229","Dx233","4",0,0,2,2,13,2,1.5,1,2,2.33333,86.4286,7,6,49
"230","Dx234","5",1,0,2,2,14,6,2.5,1.66667,2.33333,1.16667,64.8571,11,13,42
"231","Dx235","3",1,0,2,1,13,4,1.5,2,1.33333,1.66667,96.4286,12,11,45
"232","Dx236","3",0,0,4,0,8,9,0.166667,0,4,4,96.7143,13,17,53
"233","Dx237","4",0,0,2,3,16,13,2.83333,2.33333,2,2.16667,8.28571,18,21,42
"234","Dx238","1",0,0,2,4,20,11,1.16667,0,4,3,99,7,7.12539955584853,48.4759826095851
"235","Dx239","1",0,0,3,1,14,6,0.5,0,3.66667,3.5,93.2857,8,7,54
"236","Dx240","4",0,0,2,1,9,8,1,0.333333,2,2,87.1429,13,10,43
