"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"83","Bs086","1",1,0,3,0,12,4,0,0,3,2.66667,90,6,5,44
"84","Bs087","5",1,0,0,1,10,12,0.5,0.666667,0.333333,0,60.2857,7,6,39
"85","Bs088","5",1,0,2,0,16,14,0,1,2.66667,1,89.5714,28,23,37
"86","Bs089a","1",1,0,2,0,5,8,0,0,3,2.66667,100,5,7,41
"87","Bs090","5",1,0,2,0,9.78960969018931,8,0.333333,0.262052207158788,1.3446807053295,1.33333,82,13.1523756090313,9.49170321630785,37.4888167228183
"88","Bt091","3",0,0,3,1,9,3,0.5,0.333333,3.66667,3.33333,97,10,6,57
"89","Bt092","4",0,0,4,2,9.20774959569783,5,1,0.529056182911592,3.62256710240008,3.83333,100,8,7.71479798079846,50.7661841118885
"90","Bt093","3",1,0,1,0,9,4,0,0,1,1.83333,73.1429,10,8,36
"91","Bt094","1",1,0,4,0,5,8,0,0,4,3.66667,99.8571,9,5,47
"92","Bt095","3",0,0,2,1,10.9323846774964,6,1,0.745407366345732,2.36940958599884,2.5,86.1582026689317,10.4736046100117,10.5018703553936,43.4176415505025
"93","Bt096","5",0,0,3,1,6,1,1.5,1.33333,1.33333,2.16667,90,9,8,47
"94","Bt097","1",1,0,3,1,10,8,0.166667,0,2.66667,2.66667,87.5714,8,11,48
"95","Bt098","5",0,0,4,0,5.9647079756343,1,0,-0.204089205627614,3.90478475674641,4,98.3333,7.93431630341458,6.61092277139628,54.4590830331277
"96","Bt099","5",0,0,2,0,16,3,1,1,0,0.833333,91.5714,9,7,18
"97","Bt100","1",1,0,4,1,9,8,1.33333,1,4,3.33333,92.2857,5,5,47
"98","Bt101","5",1,0,3,1,12,9,0.333333,0,4,3.66667,99.7143,13,10,45
"99","Bt102","3",1,0,4,0,6.98074254657454,1,0,-0.00158189225503458,3.81025294544613,4,100,6,6.15433560206021,51.7803297455832
"100","Bt103","4",0,0,4,0,5,8,0,0,4,4,84.1429,10,5,60
"101","Bt104","2",1,0,2,3,8,13,2.5,1,2.66667,2,84.5714,9,5,43
"102","Bt105","5",1,0,2,1,12,10,0.5,0,0,0.333333,67.1429,11,8,54
"103","Bt106","4",1,0,3,2,11.5722452495912,10,1.5,1.22090851609204,2.77181885884434,3,65,11.4620674275794,11.6735695803953,44.6360509309152
"104","Bt107","3",1,0,4,1,10,3,1.16667,1,3.66667,2.83333,92.8571,11,12,47
"105","Bt108","5",0,0,3,1,8,7,0.333333,0.333333,1,2.33333,71,18,8,36
"106","Bt109","4",1,0,4,1,7,13,1.5,1.66667,1,2,60.7143,23,8,18
"107","Bt110","1",1,0,3,1,8,11,1,0.666667,2.66667,2.33333,90.5714,16,23,55
"108","Bt111","3",1,0,3,0,9,8,0.166667,0,1.66667,2,66.7143,10,9,43
"109","Bt112","5",0,0,3,2,21,11,2.33333,4,1.33333,2.66667,28,26.6476594615308,30,16
"110","Bt113","4",1,0,4,0,7,1,0,0.666667,4,4,96.1429,6,6,52
"111","Bt114","5",0,0,4,0,5,0,0,0,4,4,100,5,5,60
"112","Bt115","1",1,0,3,1,13,11,1.16667,0,3,2.5,90.4286,8,6,36
"113","Bt116","4",0,0,3,2,10.8006681383875,6,1.5,1.00284940459374,2.26635153979234,2.5,69.0653510965644,10.5364032161714,10.2361371745391,41.0245847702355
"114","Bt117","4",1,0,2,2,10,11,0.666667,1,3.66667,2.66667,63,11,9,35
"115","Bt118","2",0,0,3,0,4.81452170720781,0,0,-0.094527057645142,3.10239090250994,3,91.7480154759177,7.37934023938203,3.35223432172759,47.7849091287362
"116","Bt119","1",1,0,3,2,14.2498745458025,15,1.8,1.45206109813099,1.65181201902109,1.6,41.8571,17.4377632767518,14.1798221569284,32.5826175309689
"117","Bt120b","4",1,0,3,1,11.30275686948,9,1.33333,1.11475268085382,2.52311481332938,2.66667,71.25,11.7942697928751,11.2922352956016,43.0811409802482
"118","Bt121","5",0,0,0,1,12,9,1.66667,0,3.33333,1.5,40.2857,22,18,50
"119","Bt122","3",0,0,0,0,11.2625736720574,9,0,0.0152741181163779,0.815697320346856,1,100,11.2128874353978,10.108074582098,35.6581071237722
"120","Bu123","5",0,0,2,0,5,4,0,0.333333,1.33333,1.66667,100,5,5,44
"121","Bu124","4",0,0,3,0,11,1,0.166667,0.333333,3,2.16667,91.5714,10,5,52
