"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"183","1",1,0,2,1,2,1,3,3,2,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,1,1,6,6,1,1,1,1,1,0.533333333333333,99.4285714285714,0
"184","0",1,0,4,2,4,3,4,5,3.66666666666667,5,4,3,3,3,3,4,3,3,4,3,4,3,4,3,3,2,1,1,6,6,4,3,1,1,2,0.466666666666667,43.1428571428571,0
"185","1",1,0,2,1,2,1,2,2,1.66666666666667,4,4,4,3,4,4,3,4,4,4,4,4,4,2,3,2,2,1,1,6,5,2,2,1,1,1,0.733333333333333,98.2857142857143,0
"186","0",1,0,1,1,2,3,1,3,1.83333333333333,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,2,1,1,1,6,6,1,2,1,1,2,0.866666666666667,100,0
"187","1",1,0,3,3,3,3,5,3,3.33333333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,6,6,1,1,1,1,1,0.766666666666667,100,0
"188","1",0,0,3,2,3,1,4,3,2.66666666666667,4,3,4,3,3,4,4,4,5,5,5,5,3,3,1,2,1,1,2,5,6,1,1,1,1,2,1,86.4285714285714,0
"189","1",1,0,3,2,2,3,4,3,2.83333333333333,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,2,1.94230769230769,2,3,4,2,5,3,2,1,0.433333333333333,64.8571428571429,0
"190","0",1,0,2,2,4,3,2,2,2.5,4,5,4,3,3,3,3,4,3,4,5,4,4,5,2,4,2,2,2,5,5,4,3,2,1,1,0.733333333333333,96.4285714285714,0
"191","0",0,0,1,1,1,2,3,4,2,5,4,5,5,4,5,4,3,5,4,5,4,4,2,3,1,1,3,5,6,6,6,3,1,3,4,0.7,96.7142857142857,0
"192","0",0,0,4,4,3,2,3,4,3.33333333333333,3,4,3,2,3,4,3,4,4,4,4,4,4,5,6,5,3,1,3,6,3,4,6,2,5,4,0.733333333333333,8.28571428571429,0
"193","1",0,0,2,3,3,1,5,2,2.66666666666667,3,4,3,5,5,5,5,5,4,5,5,5,5,5,1,2,2,1,2,4,5,2,1,1,1,2,0.933333333333333,93.2857142857143,0
"194","0",0,0,2,2,2,1,2,3,2,4,4,3,3,3,3,4,3,4,3,5,4,3,3,3,3,2,3,2,5,5,2,1,3,2,2,0.433333333333333,87.1428571428571,0
"195","0",1,0,2,1,2,1,2,2,1.66666666666667,5,4,4,4,4,4,5,5,5,5,4,5,4,3,2.51063829787234,2.51063829787234,2.1063829787234,1.87234042553191,2.34042553191489,4.63829787234043,4.82978723404255,2,1,1,2,2,0.933333333333333,88,0
"196","0",1,0,2,2,2,1,3,3,2.16666666666667,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,5,2,1,2,4,5,4,4,2,3,4,0.8,94.8571428571429,0
"197","0",0,0,2,1,2,1,4,5,2.5,4,3,4,3,3,3,4,3,4,3,3,3,3,2,1,1,1,1,2,6,6,1,1,1,1,1,0.666666666666667,84.7142857142857,0
"198","0",0,0,2,1,1,1,2,1,1.33333333333333,3,2,3,5,2,3,2,2,4,2,1,3,2,3,2.54545454545455,2.54545454545455,2.09090909090909,2.15151515151515,2.48484848484848,4.42424242424242,4.3030303030303,1,1,1,1,1,0.633333333333333,77.2857142857143,0
"199","1",1,0,1,1,1,1,2,2,1.33333333333333,5,4,4,5,4,5,5,4,4,5,3,4,4,2,2,2,1,1,2,6,6,1,1,1,1,2,0.5,67.1428571428571,0
"200","1",1,0,1,1,3,2,2,3,2,3,4,3,3,3,3,4,3,4,3,3,3,4,2,3,2,2,1,2,4,4,1,2,2,1,1,0.666666666666667,91.2857142857143,0
"201","0",1,0,1,1,1,1,1,1,1,4,4,3,2,3,3,3,4,1,5,5,5,3,2,2,3,2,1,2,1,1,2,1,1,1,2,0.533333333333333,98.1428571428571,0
"202","1",0,0,1,1,1,1,2,1,1.16666666666667,4,4,4,3,5,4,3,4,4,3,3,5,2,3,2,1,1,1,1,5,6,1,1,1,1,1,0.266666666666667,93.5714285714286,0
"203","0",0,0,3,1,1,2,3,2,2,5,4,4,3,3,5,5,5,4,4,5,5,4,4,1,3,1,1,1,6,6,2,2,1,1,1,0.4,99.8571428571429,0
"204","1",1,0,4,3,4,4,5,5,4.16666666666667,5,4,3,3,3,2,3,3,4,2,3,2,2,4,4,2,1,2,3,6,6,4,2,1,4,3,0.633333333333333,89.4285714285714,1
"205","0",1,0,2,1,1,1,2,2,1.5,3,4,3,3,4,3,4,5,5,4,5,5,3,2,1,1,1,1,1,6,6,1,1,1,1,1,0.866666666666667,92.7142857142857,0
"206","0",1,0,2,2,1,3,3,1,2,4,1,1,5,5,5,5,5,4,4,5,5,4,1,1,2,2,1,1,6,6,2,1,1,1,1,0.533333333333333,97.4285714285714,0
"207","1",1,0,1,1,1,1,2,3,1.5,4,4,3,3,3,4,3,2,4,5,4,3,4,4,2,3,1,2,1,5,6,2,2,2,3,1,0.333333333333333,52,0
"208","1",0,0,3,2,2,1,3,3,2.33333333333333,4,3,5,4,4,3,4,4,3,5,4,3,4,3,1,1,3,1,2,4,6,1,2,1,1,1,0.5,83,0
"209","1",0,0,3,2,2,2,4,5,3,5,4,4,4,4,4,4,4,4,4,5,4,4,2,2,4,2,3,4,4,4,1,1,2,1,2,0.866666666666667,57.8571428571429,0
"210","0",0,0,2,2,2,2,2,2,2,5,3,4,4,4,4,5,4,4,4,4,5,3,1,1,1,1,1,1,6,6,1,1,1,1,1,0.766666666666667,99.2857142857143,0
"211","0",0,0,1,1,1,1,1,2,1.16666666666667,4,5,4,3,4,5,5,5,5,5,4,4,3,4,5,5,3,6,5,4,6,4,5,5,4,5,0.333333333333333,64.5714285714286,0
"212","1",1,0,2,1,3,1,3,3,2.16666666666667,3,2,1,2,2,3,3,2,1,1,2,1,3,5,1,1,2,1,2,4,4,2,1,1,2,2,0.6,73.8571428571429,0
