"subjectid","cond","race","tma","si","mw1","mw2","under_avg","worry0","enjoy0","worry1","enjoy1","worry2","enjoy2","HOT","X","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"Bs073","1",NA,NA,NA,NA,NA,98,3,2,2,1.33333333333333,NA,NA,0.25,71,5,1,0,2,3,11.7115029405948,7,2,1.37421952870055,1.52298658688176,1.33333,98,11.6699619147711,8.43137658376251,37.9010904094345
"Bs074","1",3,6,50,1.8,1.8,87.7142857142857,2,4,0.5,3.66666666666667,0,3.66666666666667,0.5,72,3,1,0,4,2,6,2,0.5,0,3.66667,3.66667,87.7143,9,9,50
"Bs075","0",3,6,58,1.6,1.8,90,1,3,0.333333333333333,3.33333333333333,0,3.66666666666667,1,73,3,1,0,3,1,6,3,0.333333,0,3.66667,3.33333,90,8,9,58
"Bs076","1",5,7,36,2.4,1.4,94.8571428571429,1,2,0.333333333333333,1.83333333333333,0,1.33333333333333,1,74,5,1,0,2,1,7,5,0.333333,0,1.33333,1.83333,94.8571,12,7,36
"Bs077","1",3,9,56,1.2,1,98.5714285714286,1,2,0.833333333333333,2.5,0.333333333333333,2.33333333333333,0.5,75,3,1,0,2,1,9,7,0.833333,0.333333,2.33333,2.5,98.5714,6,5,56
"Bs078","1",NA,NA,NA,NA,NA,NA,1,3,0.5,3,NA,NA,NA,76,4,1,0,3,1,8.68050840454903,4,0.5,0.393119127996863,2.82538332982608,3,76.9542300618349,8.24353341507733,8.10052384721806,44.4594822754439
"Bs079","1",1,8,48,1.4,1,80.7142857142857,0,3,0.166666666666667,1.83333333333333,0,2,0.5,77,1,0,0,3,0,8,4,0.166667,0,2,1.83333,80.7143,7,5,48
"Bs080","1",5,10,48,1.2,1.4,75.2857142857143,1,2,0.5,1.66666666666667,0.333333333333333,2,0.5,78,5,1,0,2,1,10,6,0.5,0.333333,2,1.66667,75.2857,6,7,48
"Bs081","0",4,13,18,3.6,3.2,63,0,2,0,1.5,0,0,0.5,79,4,1,0,2,0,13,7,0,0,0,1.5,63,18,16,18
"Bs083","1",NA,16,NA,3,NA,65,4,2,3.16666666666667,2.16666666666667,1,3,0.875,80,5,0,0,2,4,16,11,3.16667,1,3,2.16667,65,15,13.2836574606859,48.2213844647959
"Bs084","1",2,12,43,2.8,1,64.8571428571429,0,4,2.33333333333333,2.16666666666667,2,2,0.125,81,2,1,0,4,0,12,6,2.33333,2,2,2.16667,64.8571,14,5,43
"Bs085","0",NA,NA,NA,NA,NA,NA,0,1,0,0.5,NA,NA,NA,82,3,1,0,1,0,10.6352821820251,6,0,0.109015832211389,0.379030764467097,0.5,80.6974223557768,11.5046629593125,8.88510658739388,29.1614135823744
"Bs086","0",1,12,44,1.2,1,90,0,3,0,2.66666666666667,0,3,0.5,83,1,1,0,3,0,12,4,0,0,3,2.66667,90,6,5,44
"Bs087","0",5,10,39,1.4,1.2,60.2857142857143,1,0,0.5,0,0.666666666666667,0.333333333333333,0.75,84,5,1,0,0,1,10,12,0.5,0.666667,0.333333,0,60.2857,7,6,39
"Bs088","0",5,16,37,5.6,4.6,89.5714285714286,0,2,0,1,1,2.66666666666667,0.75,85,5,1,0,2,0,16,14,0,1,2.66667,1,89.5714,28,23,37
"Bs089a","1",1,5,41,1,1.4,100,0,2,0,2.66666666666667,0,3,0.75,86,1,1,0,2,0,5,8,0,0,3,2.66667,100,5,7,41
"Bs090","1",NA,NA,NA,NA,NA,82,0,2,0.333333333333333,1.33333333333333,NA,NA,1,87,5,1,0,2,0,9.78960969018931,8,0.333333,0.262052207158788,1.3446807053295,1.33333,82,13.1523756090313,9.49170321630785,37.4888167228183
"Bt091","1",3,9,57,2,1.2,97,1,3,0.5,3.33333333333333,0.333333333333333,3.66666666666667,0.5,88,3,0,0,3,1,9,3,0.5,0.333333,3.66667,3.33333,97,10,6,57
"Bt092","1",NA,NA,NA,1.6,NA,100,2,4,1,3.83333333333333,NA,NA,1,89,4,0,0,4,2,9.20774959569783,5,1,0.529056182911592,3.62256710240008,3.83333,100,8,7.71479798079846,50.7661841118885
"Bt093","1",3,9,36,2,1.6,73.1428571428571,0,1,0,1.83333333333333,0,1,0.625,90,3,1,0,1,0,9,4,0,0,1,1.83333,73.1429,10,8,36
"Bt094","0",1,5,47,1.8,1,99.8571428571429,0,4,0,3.66666666666667,0,4,1,91,1,1,0,4,0,5,8,0,0,4,3.66667,99.8571,9,5,47
"Bt095","0",NA,NA,NA,NA,NA,NA,1,2,1,2.5,NA,NA,NA,92,3,0,0,2,1,10.9323846774964,6,1,0.745407366345732,2.36940958599884,2.5,86.1582026689317,10.4736046100117,10.5018703553936,43.4176415505025
"Bt096","1",NA,6,47,1.8,1.6,90,1,3,1.5,2.16666666666667,1.33333333333333,1.33333333333333,0.75,93,5,0,0,3,1,6,1,1.5,1.33333,1.33333,2.16667,90,9,8,47
"Bt097","1",1,10,48,1.6,2.2,87.5714285714286,1,3,0.166666666666667,2.66666666666667,0,2.66666666666667,0.6875,94,1,1,0,3,1,10,8,0.166667,0,2.66667,2.66667,87.5714,8,11,48
"Bt098","0",NA,NA,NA,NA,NA,98.3333333333333,0,4,0,4,NA,NA,0,95,5,0,0,4,0,5.9647079756343,1,0,-0.204089205627614,3.90478475674641,4,98.3333,7.93431630341458,6.61092277139628,54.4590830331277
"Bt099","0",5,16,18,1.8,1.4,91.5714285714286,0,2,1,0.833333333333333,1,0,0.8125,96,5,0,0,2,0,16,3,1,1,0,0.833333,91.5714,9,7,18
"Bt100","1",1,9,47,1,1,92.2857142857143,1,4,1.33333333333333,3.33333333333333,1,4,0.8125,97,1,1,0,4,1,9,8,1.33333,1,4,3.33333,92.2857,5,5,47
"Bt101","1",5,12,45,2.6,2,99.7142857142857,1,3,0.333333333333333,3.66666666666667,0,4,0.75,98,5,1,0,3,1,12,9,0.333333,0,4,3.66667,99.7143,13,10,45
"Bt102","1",NA,NA,NA,1.2,NA,100,0,4,0,4,NA,NA,0.5,99,3,1,0,4,0,6.98074254657454,1,0,-0.00158189225503458,3.81025294544613,4,100,6,6.15433560206021,51.7803297455832
"Bt103","0",4,5,60,2,1,84.1428571428571,0,4,0,4,0,4,0.75,100,4,0,0,4,0,5,8,0,0,4,4,84.1429,10,5,60
"Bt104","1",2,8,43,1.8,1,84.5714285714286,3,2,2.5,2,1,2.66666666666667,0.6875,101,2,1,0,2,3,8,13,2.5,1,2.66667,2,84.5714,9,5,43
"Bt105","0",5,12,54,2.2,1.6,67.1428571428571,1,2,0.5,0.333333333333333,0,0,0.875,102,5,1,0,2,1,12,10,0.5,0,0,0.333333,67.1429,11,8,54
"Bt106","0",NA,NA,NA,NA,NA,65,2,3,1.5,3,NA,NA,NA,103,4,1,0,3,2,11.5722452495912,10,1.5,1.22090851609204,2.77181885884434,3,65,11.4620674275794,11.6735695803953,44.6360509309152
"Bt107","0",3,10,47,2.2,2.4,92.8571428571429,1,4,1.16666666666667,2.83333333333333,1,3.66666666666667,0.75,104,3,1,0,4,1,10,3,1.16667,1,3.66667,2.83333,92.8571,11,12,47
"Bt108","1",5,8,36,3.6,1.6,71,1,3,0.333333333333333,2.33333333333333,0.333333333333333,1,0.875,105,5,0,0,3,1,8,7,0.333333,0.333333,1,2.33333,71,18,8,36
"Bt109","1",4,7,18,4.6,1.6,60.7142857142857,1,4,1.5,2,1.66666666666667,1,0.75,106,4,1,0,4,1,7,13,1.5,1.66667,1,2,60.7143,23,8,18
"Bt110","1",1,8,55,3.2,4.6,90.5714285714286,1,3,1,2.33333333333333,0.666666666666667,2.66666666666667,0.625,107,1,1,0,3,1,8,11,1,0.666667,2.66667,2.33333,90.5714,16,23,55
"Bt111","1",3,9,43,2,1.8,66.7142857142857,0,3,0.166666666666667,2,0,1.66666666666667,0.625,108,3,1,0,3,0,9,8,0.166667,0,1.66667,2,66.7143,10,9,43
"Bt112","0",5,21,16,NA,6,28,2,3,2.33333333333333,2.66666666666667,4,1.33333333333333,1,109,5,0,0,3,2,21,11,2.33333,4,1.33333,2.66667,28,26.6476594615308,30,16
"Bt113","0",4,7,52,1.2,1.2,96.1428571428571,0,4,0,4,0.666666666666667,4,0.625,110,4,1,0,4,0,7,1,0,0.666667,4,4,96.1429,6,6,52
"Bt114","0",5,5,60,1,1,100,0,4,0,4,0,4,0.875,111,5,0,0,4,0,5,0,0,0,4,4,100,5,5,60
"Bt115","1",1,13,36,1.6,1.2,90.4285714285714,1,3,1.16666666666667,2.5,0,3,0.75,112,1,1,0,3,1,13,11,1.16667,0,3,2.5,90.4286,8,6,36
"Bt116","0",NA,NA,NA,NA,NA,NA,2,3,1.5,2.5,NA,NA,NA,113,4,0,0,3,2,10.8006681383875,6,1.5,1.00284940459374,2.26635153979234,2.5,69.0653510965644,10.5364032161714,10.2361371745391,41.0245847702355
"Bt117","0",4,10,35,2.2,1.8,63,2,2,0.666666666666667,2.66666666666667,1,3.66666666666667,0.5,114,4,1,0,2,2,10,11,0.666667,1,3.66667,2.66667,63,11,9,35
"Bt118","1",NA,NA,NA,NA,NA,NA,0,3,0,3,NA,NA,NA,115,2,0,0,3,0,4.81452170720781,0,0,-0.094527057645142,3.10239090250994,3,91.7480154759177,7.37934023938203,3.35223432172759,47.7849091287362
"Bt119","0",NA,NA,NA,NA,NA,41.8571428571429,2,3,1.8,1.6,NA,NA,0.6,116,1,1,0,3,2,14.2498745458025,15,1.8,1.45206109813099,1.65181201902109,1.6,41.8571,17.4377632767518,14.1798221569284,32.5826175309689
"Bt120b","0",NA,NA,NA,NA,NA,71.25,1,3,1.33333333333333,2.66666666666667,NA,NA,0.5,117,4,1,0,3,1,11.30275686948,9,1.33333,1.11475268085382,2.52311481332938,2.66667,71.25,11.7942697928751,11.2922352956016,43.0811409802482
"Bt121","1",5,12,50,4.4,3.6,40.2857142857143,1,0,1.66666666666667,1.5,0,3.33333333333333,0.625,118,5,0,0,0,1,12,9,1.66667,0,3.33333,1.5,40.2857,22,18,50
"Bt122","1",NA,NA,NA,NA,NA,100,0,0,0,1,NA,NA,NA,119,3,0,0,0,0,11.2625736720574,9,0,0.0152741181163779,0.815697320346856,1,100,11.2128874353978,10.108074582098,35.6581071237722
"Bu123","1",5,5,44,1,1,100,0,2,0,1.66666666666667,0.333333333333333,1.33333333333333,0.75,120,5,0,0,2,0,5,4,0,0.333333,1.33333,1.66667,100,5,5,44
"Bu124","0",4,11,52,2,1,91.5714285714286,0,3,0.166666666666667,2.16666666666667,0.333333333333333,3,0.625,121,4,0,0,3,0,11,1,0.166667,0.333333,3,2.16667,91.5714,10,5,52
"Bu125","0",NA,NA,NA,1.8,NA,96.5714285714286,0,3,0,2.83333333333333,NA,NA,0.625,122,1,0,0,3,0,7.04577101649336,0,0,-0.145450145127863,2.88963680845051,2.83333,96.5714,9,6.46687847453446,42.1900977771346
"Bu126","1",NA,NA,NA,2,NA,95.5714285714286,1,4,0.333333333333333,4,NA,NA,0.4375,123,1,0,0,4,1,8.76000602414041,7,0.333333,0.0689874252529664,3.93181957433429,4,95.5714,10,8.38485466716683,50.2262905754274
"Bu127","1",NA,NA,NA,3.2,NA,74,1,2,1,0.666666666666667,NA,NA,0.125,124,5,1,0,2,1,12.8801730726274,14,1,0.777997362871304,0.638864372680775,0.666667,74,16,11.6200824710314,32.8942459001042
"Bu128","0",5,6,58,1.6,1.6,97.2857142857143,1,4,0.666666666666667,4,0,4,0.8125,125,5,1,0,4,1,6,8,0.666667,0,4,4,97.2857,8,8,58
"Bu129","0",4,8,49,1.4,1.4,86.8571428571429,1,4,0.5,3.33333333333333,0,3,0.5,126,4,1,0,4,1,8,7,0.5,0,3,3.33333,86.8571,7,7,49
