"subjectid","cond","race","tma","si","mw1","mw2","under_avg","worry0","enjoy0","worry1","enjoy1","worry2","enjoy2","HOT","X","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"Cv169","1",3,11,24,2.6,3,99.2857142857143,1,0,0.166666666666667,0.166666666666667,0,0.666666666666667,0.625,165,3,0,0,0,1,11,6,0.166667,0,0.666667,0.166667,99.2857,13,15,24
"Cv170","1",NA,12,48,1.6,1.4,92.7142857142857,0,3,0.666666666666667,1.5,0,2.33333333333333,0.75,166,5,1,0,3,0,12,1,0.666667,0,2.33333,1.5,92.7143,8,7,48
"Cv171","0",5,8,29,2.4,2.2,69.5714285714286,1,3,1.66666666666667,1.83333333333333,0.666666666666667,2.33333333333333,0.75,167,5,1,0,3,1,8,7,1.66667,0.666667,2.33333,1.83333,69.5714,12,11,29
"Cv172","1",3,13,27,1.2,1,58,0,0,1.33333333333333,0.333333333333333,2.66666666666667,0,0.375,168,3,1,0,0,0,13,8,1.33333,2.66667,0,0.333333,58,6,5,27
"Cv173","0",1,9,27,2.2,1.2,57.7142857142857,1,3,0.833333333333333,3.16666666666667,0.333333333333333,2.66666666666667,0,169,1,0,0,3,1,9,0,0.833333,0.333333,2.66667,3.16667,57.7143,11,6,27
"Cv174","1",1,10,28,2.8,2.6,77.5714285714286,1,3,0.166666666666667,2.83333333333333,0.333333333333333,2.33333333333333,0.625,170,1,1,0,3,1,10,6,0.166667,0.333333,2.33333,2.83333,77.5714,14,13,28
"Cv175","1",5,11,39,3.2,2,79.1428571428571,1,2,0.166666666666667,1,0,0,0.75,171,5,1,0,2,1,11,6,0.166667,0,0,1,79.1429,16,10,39
"Cv176","0",1,9,30,2.2,2,64.8571428571429,2,2,2.5,1.5,2,1.66666666666667,0.625,172,1,0,0,2,2,9,6,2.5,2,1.66667,1.5,64.8571,11,10,30
"Cv177","0",5,6,46,1.6,1.2,94.2857142857143,1,2,0.833333333333333,1.66666666666667,0.333333333333333,2,0.875,173,5,1,0,2,1,6,1,0.833333,0.333333,2,1.66667,94.2857,8,6,46
"Cv178","0",5,11,43,1.6,1.6,31.5714285714286,2,3,2,2.5,2,2.66666666666667,0.625,174,5,1,0,3,2,11,2,2,2,2.66667,2.5,31.5714,8,8,43
"Cv179","0",NA,7,43,1.2,1,96,2,2,1,2.16666666666667,0,2,0.75,175,5,0,0,2,2,7,4,1,0,2,2.16667,96,6,5,43
"Cv180","0",5,15,24,2.8,2.6,93,1,2,1.16666666666667,1.33333333333333,1.33333333333333,0.333333333333333,0.75,176,5,1,0,2,1,15,3,1.16667,1.33333,0.333333,1.33333,93,14,13,24
"Cv181","0",4,17,20,6,5,29.1428571428571,0,2,0.166666666666667,0.666666666666667,0,0,0.625,177,4,1,0,2,0,17,14,0.166667,0,0,0.666667,29.1429,30,25,20
"Cv182","1",1,13,49,1.8,2,82.7142857142857,1,4,0.833333333333333,2.83333333333333,0.333333333333333,2,0.5,178,1,1,0,4,1,13,8,0.833333,0.333333,2,2.83333,82.7143,9,10,49
"Cv183","1",NA,9,45,2.4,2,96.2857142857143,1,2,2,2,2,2,0.625,179,1,0,0,2,1,9,7,2,2,2,2,96.2857,12,10,45
"Cv184","1",5,9,42,2.2,2.4,96,2,3,2.16666666666667,3,1.33333333333333,2.33333333333333,0.625,180,5,0,0,3,2,9,7,2.16667,1.33333,2.33333,3,96,11,12,42
"Cv185","0",5,6,35,3.8,1.8,69.4285714285714,2,2,2.33333333333333,0.833333333333333,1.33333333333333,0.333333333333333,0.875,181,5,1,0,2,2,6,9,2.33333,1.33333,0.333333,0.833333,69.4286,19,9,35
"Cw186","0",3,8,20,2.2,2,78.1428571428571,0,2,0.333333333333333,1,1,1,0.375,182,3,1,0,2,0,8,6,0.333333,1,1,1,78.1429,11,10,20
"Cw187","1",NA,9,29,3,2.6,82.2857142857143,1,3,0.333333333333333,1.83333333333333,1.33333333333333,0.666666666666667,0.875,183,4,0,0,3,1,9,6,0.333333,1.33333,0.666667,1.83333,82.2857,15,13,29
"Cw188","0",NA,17,24,2.4,2.2,91.8571428571429,1,0,0.666666666666667,0.833333333333333,1.33333333333333,0,0.5,184,3,1,0,0,1,17,8,0.666667,1.33333,0,0.833333,91.8571,12,11,24
"Cw189","0",5,15,38,2.6,2,89,2,3,2.33333333333333,2.33333333333333,2,2,0.5,185,5,0,0,3,2,15,7,2.33333,2,2,2.33333,89,13,10,38
"Cw190a","1",NA,NA,NA,4,NA,47.4285714285714,3,2,1.5,2.16666666666667,NA,NA,0.75,186,4,0,0,2,3,12.8661874983521,6,1.5,1.19496468440121,1.90918148918032,2.16667,47.4286,20,16.0701018758723,35.0580761887282
"Cw191","0",NA,7,NA,1.4,NA,90.4285714285714,0,3,0.166666666666667,2.16666666666667,0,3,0.5,187,5,1,0,3,0,7,7,0.166667,0,3,2.16667,90.4286,7,5.58643302558072,47.0122905651742
"Cw192","1",4,10,23,1.8,1.8,40.4285714285714,1,3,1.5,1.66666666666667,0.666666666666667,3.66666666666667,0.25,188,4,1,0,3,1,10,2,1.5,0.666667,3.66667,1.66667,40.4286,9,9,23
"Cw193","0",NA,7,16,5.6,4.8,53.5714285714286,0,3,0,1,0,0,0.5,189,5,0,0,3,0,7,6,0,0,0,1,53.5714,28,24,16
"Cw194","0",1,6,31,1.8,1.4,69.4285714285714,0,2,0.333333333333333,1.83333333333333,0,2.33333333333333,0.875,190,1,0,0,2,0,6,3,0.333333,0,2.33333,1.83333,69.4286,9,7,31
"Cw195","0",1,13,42,2.4,1.4,89.1428571428571,1,4,0.333333333333333,2.83333333333333,0.666666666666667,1.33333333333333,0.5,191,1,0,0,4,1,13,11,0.333333,0.666667,1.33333,2.83333,89.1429,12,7,42
"Cw196","0",1,6,48,1.2,1,75.1428571428571,1,4,0.333333333333333,3.66666666666667,0,3.33333333333333,0.25,192,1,0,0,4,1,6,2,0.333333,0,3.33333,3.66667,75.1429,6,5,48
"Cw197","1",NA,7,46,1.6,1,96.5714285714286,0,3,0.166666666666667,2.83333333333333,0,3,0.625,193,1,0,0,3,0,7,3,0.166667,0,3,2.83333,96.5714,8,5,46
"Cw198","1",3,10,22,2.4,1.2,89.8571428571429,1,2,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333,1,194,3,1,0,2,1,10,3,0.833333,0.333333,0.333333,0.833333,89.8571,12,6,22
"Cw199","0",1,20,29,NA,3.4,44.5,3,0,3.25,0.5,3.33333333333333,0,1,195,1,1,0,0,3,20,12,3.25,3.33333,0,0.5,44.5,16.5319890057105,17,29
"Cw200","1",5,8,37,2.2,1.8,98.5714285714286,0,4,0,2.83333333333333,0,2.66666666666667,0.75,196,5,1,0,4,0,8,6,0,0,2.66667,2.83333,98.5714,11,9,37
"Cw201","0",5,6,27,2.2,1.6,81.2857142857143,0,2,0.166666666666667,1.16666666666667,0,1.66666666666667,0.25,197,5,0,0,2,0,6,3,0.166667,0,1.66667,1.16667,81.2857,11,8,27
"Cw202","1",NA,7,40,1.6,1.2,79.1428571428571,1,2,1,1.83333333333333,1,1.66666666666667,0.625,198,5,0,0,2,1,7,9,1,1,1.66667,1.83333,79.1429,8,6,40
"Cw203","0",5,6,45,3.6,1,31.4285714285714,0,3,0,1,0,1,0.625,199,5,1,0,3,0,6,11,0,0,1,1,31.4286,18,5,45
"Cw204","1",1,6,51,1.4,1,97.4285714285714,0,4,0.666666666666667,2.66666666666667,0.666666666666667,3,0.375,200,1,0,0,4,0,6,1,0.666667,0.666667,3,2.66667,97.4286,7,5,51
"Cw205","1",NA,8,37,1,1.2,100,1,3,0.166666666666667,2.16666666666667,0,2.33333333333333,0.25,201,4,1,0,3,1,8,5,0.166667,0,2.33333,2.16667,100,5,6,37
"Cw206","0",5,5,23,1,1,98.8571428571429,0,1,0,0.333333333333333,0,0,0.75,202,5,1,0,1,0,5,2,0,0,0,0.333333,98.8571,5,5,23
"Cw207","1",1,5,12,1,1,27.5,2,1,0.666666666666667,0.333333333333333,0,0,0,203,1,0,0,1,2,5,9,0.666667,0,0,0.333333,27.5,5,5,12
"Cw208","1",NA,7,17,1,1.4,92.8571428571429,1,3,0.333333333333333,2,0.333333333333333,2.66666666666667,0.5,204,3,1,0,3,1,7,2,0.333333,0.333333,2.66667,2,92.8571,5,7,17
"Cw209","0",3,15,36,3,3,99.8571428571429,0,4,2.16666666666667,3.66666666666667,2.33333333333333,3.33333333333333,0,205,3,0,0,4,0,15,8,2.16667,2.33333,3.33333,3.66667,99.8571,15,15,36
"Cw210","0",NA,5,52,1,1,100,0,3,0,2.66666666666667,0,3,0.875,206,4,0,0,3,0,5,0,0,0,3,2.66667,100,5,5,52
"Cw211","1",5,10,35,2.8,1.4,41.8571428571429,1,2,0.666666666666667,1.5,0.333333333333333,0.666666666666667,0.9375,207,5,1,0,2,1,10,10,0.666667,0.333333,0.666667,1.5,41.8571,14,7,35
"Cw212","0",1,15,24,3.6,1.2,70.5714285714286,0,3,0.166666666666667,2,0,2,0.625,208,1,0,0,3,0,15,9,0.166667,0,2,2,70.5714,18,6,24
"Cw213","1",3,11,38,3.4,1.6,96.7142857142857,0,3,0,3.16666666666667,0,3.33333333333333,0.5,209,3,1,0,3,0,11,5,0,0,3.33333,3.16667,96.7143,17,8,38
"Cw214","1",NA,8,35,2.4,2.2,87.2857142857143,1,3,1.5,2.16666666666667,1,2.66666666666667,0.75,210,5,1,0,3,1,8,4,1.5,1,2.66667,2.16667,87.2857,12,11,35
"Cw215","1",3,21,31,2.2,1.6,82.7142857142857,0,3,0,2.33333333333333,0,2.66666666666667,0.5,211,3,0,0,3,0,21,9,0,0,2.66667,2.33333,82.7143,11,8,31
"Dx216","1",2,6,34,1.8,1,97.8571428571429,0,3,0.166666666666667,2.16666666666667,0,2,0.5,212,2,0,0,3,0,6,2,0.166667,0,2,2.16667,97.8571,9,5,34
"Dx217","1",5,7,52,1,1.2,100,0,4,0,4,0,4,0.875,213,5,1,0,4,0,7,7,0,0,4,4,100,5,6,52
"Dx218","0",5,8,43,2,1.4,99.2857142857143,0,4,0.2,3,0,3.66666666666667,1,214,5,1,0,4,0,8,4.27424699484123,0.2,0,3.66667,3,99.2857,10,7,43
"Dx219","1",3,7,42,3,2.4,96,0,3,0,3.16666666666667,0,3,0.25,215,3,1,0,3,0,7,2,0,0,3,3.16667,96,15,12,42
"Dx220","1",5,6,53,1.4,1.4,98.5714285714286,1,3,1,3.33333333333333,1,2.66666666666667,0.625,216,5,1,0,3,1,6,4,1,1,2.66667,3.33333,98.5714,7,7,53
"Dx221a","1",NA,14,NA,1.6,NA,99.2857142857143,0,0,0.333333333333333,2.5,0,0,0.125,217,3,1,0,0,0,14,5,0.333333,0,0,2.5,99.2857,8,9.98575729877763,38.387905396048
"Dx222","1",4,5,51,1,1,73.5714285714286,1,3,0.166666666666667,3.5,0,3.33333333333333,0.5625,218,4,0,0,3,1,5,1,0.166667,0,3.33333,3.5,73.5714,5,5,51
"Dx223","1",NA,NA,NA,2.6,NA,71.4285714285714,2,2,1.16666666666667,2.83333333333333,NA,NA,0.125,219,4,1,0,2,2,11.2642549873157,8,1.16667,1.01633712765912,2.6266328723499,2.83333,71.4286,13,12.2887988911274,43.4145542685086
"Dx224","0",4,10,39,2.4,1.4,90.1428571428571,1,3,1.5,2.5,0.333333333333333,2,0.625,220,4,0,0,3,1,10,3,1.5,0.333333,2,2.5,90.1429,12,7,39
"Dx225","1",4,9,49,1.6,1,99.4285714285714,0,3,0,2.83333333333333,0,3,0.5625,221,4,1,0,3,0,9,8,0,0,3,2.83333,99.4286,8,5,49
"Dx226","1",NA,NA,NA,NA,NA,100,0,4,0,4,NA,NA,1,222,1,0,0,4,0,7.41612871608385,5,0,-0.172181180761596,3.93308711881352,4,100,7.92665763609947,6.95982620044816,50.9389494828328
"Dx227","0",NA,NA,NA,1.4,NA,97.8571428571429,1,4,0.166666666666667,4,NA,NA,0.75,223,4,0,0,4,1,7.766018442852,4,0.166667,-0.0726781166006047,3.71876941760409,4,97.8571,7,6.90834069595878,51.6632784929917
"Dx228","0",4,17,42,2,2.2,43.1428571428571,1,2,1.66666666666667,1.83333333333333,2.66666666666667,1,0.625,224,4,1,0,2,1,17,14,1.66667,2.66667,1,1.83333,43.1429,10,11,42
"Dx229","0",NA,NA,NA,NA,NA,NA,2,2,1.5,2,NA,NA,NA,225,4,0,0,2,2,11.312078101881,6,1.5,1.03709004870458,1.88205682923459,2,66.1762814169993,11.0037577167763,10.7572790927941,38.5709741408784
"Dx230","1",3,8,46,1.8,1.4,98.2857142857143,1,2,1,2,1,2,0.5625,226,3,1,0,2,1,8,3,1,1,2,2,98.2857,9,7,46
"Dx231","0",5,8,39,1.6,1.4,100,1,2,0.166666666666667,1.5,0,0,0.875,227,5,1,0,2,1,8,6,0.166667,0,0,1.5,100,8,7,39
"Dx232","1",5,17,60,1,1,100,4,4,1,4,0,4,0.625,228,5,1,0,4,4,17,10,1,0,4,4,100,5,5,60
"Dx233","1",4,13,49,1.4,1.2,86.4285714285714,2,2,1.5,2.33333333333333,1,2,0.625,229,4,0,0,2,2,13,2,1.5,1,2,2.33333,86.4286,7,6,49
"Dx234","1",5,14,42,2.75,2.6,64.8571428571429,2,2,2.5,1.16666666666667,1.66666666666667,2.33333333333333,0.3125,230,5,1,0,2,2,14,6,2.5,1.66667,2.33333,1.16667,64.8571,11,13,42
"Dx235","0",3,13,45,2.4,2.2,96.4285714285714,1,2,1.5,1.66666666666667,2,1.33333333333333,0.75,231,3,1,0,2,1,13,4,1.5,2,1.33333,1.66667,96.4286,12,11,45
"Dx236","0",3,8,53,2.6,3.4,96.7142857142857,0,4,0.166666666666667,4,0,4,0.625,232,3,0,0,4,0,8,9,0.166667,0,4,4,96.7143,13,17,53
"Dx237","0",4,16,42,3.6,4.2,8.28571428571429,3,2,2.83333333333333,2.16666666666667,2.33333333333333,2,0.25,233,4,0,0,2,3,16,13,2.83333,2.33333,2,2.16667,8.28571,18,21,42
"Dx238","1",NA,20,NA,1.4,NA,99,4,2,1.16666666666667,3,0,4,0.375,234,1,0,0,2,4,20,11,1.16667,0,4,3,99,7,7.12539955584853,48.4759826095851
"Dx239","1",1,14,54,1.6,1.4,93.2857142857143,1,3,0.5,3.5,0,3.66666666666667,0.5625,235,1,0,0,3,1,14,6,0.5,0,3.66667,3.5,93.2857,8,7,54
"Dx240","0",4,9,43,2.6,2,87.1428571428571,1,2,1,2,0.333333333333333,2,0.75,236,4,0,0,2,1,9,8,1,0.333333,2,2,87.1429,13,10,43
"Dx241","0",4,8,54,NA,1.6,88,1,2,1,2.33333333333333,1,2,1,237,4,1,0,2,1,8,8,1,1,2,2.33333,88,8.1460202330418,8,54
"Dy242","0",3,10,42,2.6,3.4,94.8571428571429,1,2,0.666666666666667,1.5,1.33333333333333,0.666666666666667,0.75,238,3,1,0,2,1,10,5,0.666667,1.33333,0.666667,1.5,94.8571,13,17,42
"Dy243","0",NA,10,40,1.2,1,84.7142857142857,0,2,0.5,2,1,1,0.75,239,3,0,0,2,0,10,8,0.5,1,1,2,84.7143,6,5,40
"Dy244a","0",NA,11,NA,1,NA,81.8571428571429,0,4,0.166666666666667,1.66666666666667,0,0,0.875,240,4,1,0,4,0,11,11,0.166667,0,0,1.66667,81.8571,5,4.8694393932243,32.5679620153376
"Dy245","1",4,6,52,1.6,1.2,67.1428571428571,3,1,1,2.66666666666667,0.333333333333333,2.33333333333333,0,241,4,1,0,1,3,6,11,1,0.333333,2.33333,2.66667,67.1429,8,6,52
"Dy246","1",5,9,39,2,1.4,91.2857142857143,0,3,0.833333333333333,2.33333333333333,1,2.33333333333333,0.375,242,5,1,0,3,0,9,5,0.833333,1,2.33333,2.33333,91.2857,10,7,39
"Dy247","0",NA,5,42,2,1.4,98.1428571428571,0,4,0,4,0,3.66666666666667,0.375,243,3,1,0,4,0,5,4,0,0,3.66667,4,98.1429,10,7,42
"Dy248","1",NA,5,NA,2.4,NA,64.5714285714286,1,2,0.833333333333333,1.83333333333333,0,1,0.625,244,4,1,0,2,1,5,7,0.833333,0,1,1.83333,64.5714,12,10.0182111694163,37.7018793739192
"Dy250","0",NA,10,52,1.4,1.4,99.8571428571429,0,3,0.5,3,0.666666666666667,3,0.75,245,5,0,0,3,0,10,6,0.5,0.666667,3,3,99.8571,7,7,52
"Dy251","1",NA,NA,NA,NA,NA,100,0,2,0,1.5,NA,NA,NA,246,3,1,0,2,0,9.26837008444505,4,0,0.0252590268028146,1.42031390956551,1.5,100,9.11963085397176,6.91717507690278,36.3450191099419
"Dy252","1",4,20,37,2.4,2.8,89.4285714285714,3,3,3.83333333333333,2.83333333333333,4,2.33333333333333,0.625,247,4,1,0,3,3,20,15,3.83333,4,2.33333,2.83333,89.4286,12,14,37
"Dy253","0",3,7,48,1,1,92.7142857142857,1,2,0.833333333333333,2.33333333333333,0,2,0.875,248,3,1,0,2,1,7,6,0.833333,0,2,2.33333,92.7143,5,5,48
"Dy254","0",NA,11,49,1.4,1.2,97.4285714285714,0,3,0,2.66666666666667,0,3,0.5,249,5,1,0,3,0,11,5,0,0,3,2.66667,97.4286,7,6,49
"Dy255","1",5,6,42,1.8,2,52,1,3,1,2.33333333333333,1.66666666666667,2.33333333333333,0.125,250,5,1,0,3,1,6,1,1,1.66667,2.33333,2.33333,52,9,10,42
"Dy256","1",NA,11,46,1.6,1.2,83,2,2,0.833333333333333,1.83333333333333,0,1.66666666666667,0.125,251,1,0,0,2,2,11,6,0.833333,0,1.66667,1.83333,83,8,6,46
"Dy258","1",1,13,50,3,1.4,57.8571428571429,2,4,1.66666666666667,2.83333333333333,0.666666666666667,3.33333333333333,0.75,252,1,0,0,4,2,13,10,1.66667,0.666667,3.33333,2.83333,57.8571,15,7,50
"Dy259","0",NA,10,50,1,1,99.2857142857143,0,4,0.333333333333333,3.5,0,3.33333333333333,0.5,253,3,0,0,4,0,10,4,0.333333,0,3.33333,3.5,99.2857,5,5,50
"Dy260","0",NA,NA,NA,NA,NA,81.75,1,2,1.33333333333333,2.33333333333333,NA,NA,1,254,5,1,0,2,1,11.1235929212909,10,1.33333,1.09251678673794,2.32804678090019,2.33333,81.75,12.8971125182881,11.4875761987606,45.0713225744121
"Dy261","0",5,5,53,4.8,4.6,64.5714285714286,0,4,1.83333333333333,1.83333333333333,1.33333333333333,2.66666666666667,0.125,255,5,0,0,4,0,5,8,1.83333,1.33333,2.66667,1.83333,64.5714,24,23,53
"Dy262","1",3,10,23,1.4,1.6,73.8571428571429,0,1,1.5,0.5,0,0.666666666666667,0.5,256,3,1,0,1,0,10,4,1.5,0,0.666667,0.5,73.8571,7,8,23
"Dz263","0",NA,NA,NA,1.6,NA,11.5714285714286,2,4,1.33333333333333,4,NA,NA,0,257,4,1,0,4,2,9.53459473276515,6,1.33333,1.19064855329129,3.59198233388235,4,11.5714,8,11.6410953949726,47.5835198904055
"Dz264","1",3,13,43,2.2,3.8,95,1,2,0.166666666666667,2.5,1,2.33333333333333,0.625,258,3,1,0,2,1,13,9,0.166667,1,2.33333,2.5,95,11,19,43
"Dz265","1",1,11,45,2.4,1.6,79.8571428571429,0,3,0.166666666666667,2,0,3.33333333333333,0.4375,259,1,0,0,3,0,11,6,0.166667,0,3.33333,2,79.8571,12,8,45
"Dz266","0",5,15,55,2.6,1,98.2857142857143,1,3,0.666666666666667,3.16666666666667,0,4,0.625,260,5,1,0,3,1,15,7,0.666667,0,4,3.16667,98.2857,13,5,55
"Dz267","0",5,19,27,3,1.4,29.1428571428571,0,3,1,1,0.666666666666667,0.333333333333333,0.125,261,5,1,0,3,0,19,6,1,0.666667,0.333333,1,29.1429,15,7,27
"Dz268","0",5,5,20,4.8,4,26.1428571428571,0,0,0,1,0,1.33333333333333,0.75,262,5,0,0,0,0,5,0,0,0,1.33333,1,26.1429,24,20,20
"Dz270","0",3,8,44,2.4,1.4,100,1,2,0.333333333333333,1.33333333333333,0.666666666666667,2.33333333333333,0.875,263,3,1,0,2,1,8,7,0.333333,0.666667,2.33333,1.33333,100,12,7,44
"Dz271","1",NA,NA,NA,3.4,NA,39,2,2,0.5,2.66666666666667,NA,NA,0.5,264,5,1,0,2,2,11.1775982136017,10,0.5,0.547991618136962,2.47492878174111,2.66667,39,17,14.4015373378275,42.2951295386429
"Dz272","1",NA,NA,NA,1.8,NA,75.1428571428571,1,3,0.333333333333333,3.33333333333333,NA,NA,0.375,265,5,1,0,3,1,7.85058380093799,4,0.333333,0.296839798669169,3.13367390055719,3.33333,75.1429,9,8.3712320063123,48.6524173030002
"Dz273","1",NA,NA,NA,NA,NA,100,0,4,0,4,NA,NA,0,266,5,0,0,4,0,7.37982626615199,6,0,-0.170480915865888,3.77350347115532,4,100,9.92638765861275,8.3351227921924,54.8936318428332
"Dz274","0",3,5,54,1,1,97.7142857142857,0,1,0.666666666666667,3,0.666666666666667,2.66666666666667,0.625,267,3,1,0,1,0,5,9,0.666667,0.666667,2.66667,3,97.7143,5,5,54
"Dz275","0",NA,NA,NA,NA,NA,30,2,4,3,4,NA,NA,0,268,3,0,0,4,2,11.3177794427895,3,3,2.40456605572519,3.74878172745439,4,30,10.9676571909284,14.388928690771,49.4498876227984
"Dz276","0",NA,NA,NA,1.4,NA,78.4285714285714,0,0,0,0.833333333333333,NA,NA,0.5,269,3,0,0,0,0,9.02118280134913,2,0,0.016102083846939,0.665063791801824,0.833333,78.4286,7,7.67353226415167,32.8591924874532
"Dz277","0",5,8,29,2,1.6,30.2857142857143,0,2,0.5,1,0,1,0.75,270,5,1,0,2,0,8,6,0.5,0,1,1,30.2857,10,8,29
"Dz278","1",3,16,43,2.6,2.2,73.1428571428571,2,2,0.5,2,0,2.33333333333333,0.375,271,3,0,0,2,2,16,7,0.5,0,2.33333,2,73.1429,13,11,43
"Dz279","0",5,15,46,3.4,4,65.7142857142857,1,2,1.83333333333333,1.66666666666667,1,2.33333333333333,0.125,272,5,1,0,2,1,15,7,1.83333,1,2.33333,1.66667,65.7143,17,20,46
"Dz280a","1",3,8,43,1.6,1.6,96,1,3,1,2.33333333333333,0.333333333333333,2.33333333333333,0.5,273,3,0,0,3,1,8,5,1,0.333333,2.33333,2.33333,96,8,8,43
"Dz281","1",1,7,55,1.2,1,75.7142857142857,0,3,0.666666666666667,3.83333333333333,0,3,0.625,274,1,0,0,3,0,7,7,0.666667,0,3,3.83333,75.7143,6,5,55
"Dz282","0",2,9,41,2.8,1.8,56.2857142857143,1,2,1.66666666666667,1.5,2.33333333333333,1,0.5625,275,2,1,0,2,1,9,7,1.66667,2.33333,1,1.5,56.2857,14,9,41
"Dz283","0",3,12,45,2.6,3,69.7142857142857,1,2,2.66666666666667,1.83333333333333,0.666666666666667,2.33333333333333,0.75,276,3,1,0,2,1,12,13,2.66667,0.666667,2.33333,1.83333,69.7143,13,15,45
"Dz284","0",NA,15,41,3.4,2,65.1428571428571,2,2,2.16666666666667,1,1,1,0.5,277,5,0,0,2,2,15,9,2.16667,1,1,1,65.1429,17,10,41
"Dz285","1",NA,5,58,1.2,1,92.1428571428571,0,4,0,4,0,4,1,278,3,0,0,4,0,5,1,0,0,4,4,92.1429,6,5,58
"Dz286","0",NA,NA,NA,NA,NA,64.3333333333333,4,2,2,2.75,NA,NA,1,279,1,1,0,2,4,13.8388844026153,14,2,1.56821056305935,2.72332454418797,2.75,64.3333,12.4390876142161,12.2993434169558,41.7473131842682
"Dz287","1",4,13,40,2,1.8,54.1428571428571,2,3,2.33333333333333,1.16666666666667,2.66666666666667,1,0.5,280,4,1,0,3,2,13,2,2.33333,2.66667,1,1.16667,54.1429,10,9,40
